,name,latitud,longitud,category
0,Seatwave,51.500152,-0.126236,company
1,ProcServe,51.494067,-0.14666500000000002,company
2,Shutl,51.5196135,-0.10202649999999999,company
3,Autoquake,51.543337,-0.17236400000000002,company
4,Schway,51.519816,-0.1361616,company
0,Strangers' Bar,51.4995641497275,-0.12391947082597803,bars
1,The Goring Bar & Lounge,51.497385,-0.145475,bars
2,Oriole,51.51890435770055,-0.10267230860740448,bars
3,The Gallery,51.54650872874577,-0.19019958939499448,bars
4,Bradley's Spanish Bar,51.51648841187121,-0.13246184999197871,bars
0,Park Plaza County Hall,51.5014,-0.1163,conferences
1,DoubleTree by Hilton London Victoria,51.49393,-0.143302,conferences
2,Malmaison,51.52066691641642,-0.10008185436024797,conferences
3,Wellcome Collection,51.525860547398565,-0.13390660285949707,conferences
4,Wellcome Collection,51.525860547398565,-0.13390660285949707,conferences
0,Fairley House School,51.49520185114362,-0.11744362651537182,school
1,St Peter's Eaton Square CE Primary,51.49594932012833,-0.14656845093993434,school
2,Argyle School,51.52827110410086,-0.12432303816246235,school
3,Hampstead Hill School,51.55348326148751,-0.16799551556489073,school
4,Argyle School,51.52827110410086,-0.12432303816246235,school
